bowelprep,order,category,  message,offset,time,split,procedure_time
glycoprepo,1,Medication,To prepare for your procedure cease taking any iron supplements or antidiarrheals from today.,-5,9,FALSE,morning
glycoprepo,2,Medication,A reminder to purchase Glycoprep Orange. Choose our home delivery or purchase from your Pharmacy. You don't need a prescription.,-3,10,FALSE,morning
glycoprepo,3,Diet,"Today please start the low residue diet and only drink recommended clear fluids. Avoid vegetable and fruit skins, seeds and nuts. See the diet page in our app.",-2,8,FALSE,morning
glycoprepo,4,Diet,You may have a light breakfast. Please refer to the approved foods on the diet page in the app. Drink only recommended clear fluids.,-1,7,FALSE,morning
glycoprepo,5,Bowelprep,PREPARE: Glycoprep Orange solution by dissolving the contents one 70g sachets into 1 litre of water. You will need to have 3 one litre containers for each dose. Refrigerate if desired.,-1,13,FALSE,morning
glycoprepo,6,Bowelprep,"FIRST DOSE: Drink 1 litre of the Glycoprep Orange solution which you previously prepared. Drink approximately one 250ml  glass every 15-20 minutes until completed. Drink the mixture slowly but completely. If you become nauseated, reduce the rate of intake. Inaddition to Glycoprep please drink 2 glass of approved fluids during this time.",-1,15,FALSE,morning
glycoprepo,7,Bowelprep,"SECOND DOSE: Drink 1 litre of the Glycoprep Orange solution which you previously prepared. Drink approximately one 250ml  glass every 15-20 minutes until completed. Drink the mixture slowly but completely. If you become nauseated, reduce the rate of intake. Inaddition to Glycoprep please drink 2 glass of approved fluids during this time.",-1,17,FALSE,morning
glycoprepo,8,Bowelprep,"THIRD DOSE: Drink 1 litre of the Glycoprep Orange solution which you previously prepared. Drink approximately one 250ml  glass every 15-20 minutes until completed. Drink the mixture slowly but completely. If you become nauseated, reduce the rate of intake. Inaddition to Glycoprep please drink 2 glass of approved fluids during this time.",-1,19,FALSE,morning
glycoprepo,9,Procedure,"Today is your procedure. Please do not consume any food FOOD and only clear fluids. Please cease all fluids 4 hours prior to procedure, or as indicated by your doctor.",0,6.3,FALSE,morning
glycoprepo,10,Diet,NOTHING TO EAT OR DRINK,0,7,FALSE,morning
glycoprepo,1,Medication,To prepare for your procedure cease taking any iron supplements or antidiarrheals from today.,-5,9,TRUE,afternoon
glycoprepo,2,Medication,A reminder to purchase Glycoprep Orange. Choose our home delivery or purchase from your Pharmacy. You don't need a prescription.,-3,10,TRUE,afternoon
glycoprepo,3,Diet,"Please start the low residue diet and only drink recommended clear fluids. Avoid vegetable and fruit skins, seeds and nuts. See the diet page in our app.",-2,8,TRUE,afternoon
glycoprepo,4,Diet,You may have a light breakfast and light lunch.Please do not eat after midday.  Please refer to the approved foods on the diet page in the app. Drink only recommended clear fluids..,-1,7,TRUE,afternoon
glycoprepo,5,Bowelprep,PREPARE: Glycoprep Orange solution by dissolving the contents one 70g sachets into 1 litre of water. You will need to have 3 one litre containers for each dose. Refrigerate if desired.,-1,12,TRUE,afternoon
glycoprepo,6,Bowelprep,"FIRST DOSE: Drink 1 litre of the Glycoprep Orange solution which you previously prepared. Drink approximately one 250ml  glass every 15-20 minutes until completed. Drink the mixture slowly but completely. If you become nauseated, reduce the rate of intake. Inaddition to Glycoprep please drink 2 glass of approved fluids during this time.",-1,17,TRUE,afternoon
glycoprepo,7,Bowelprep,"SECOND DOSE: Drink 1 litre of the Glycoprep Orange solution which you previously prepared. Drink approximately one 250ml  glass every 15-20 minutes until completed. Drink the mixture slowly but completely. If you become nauseated, reduce the rate of intake. Inaddition to Glycoprep please drink 2 glass of approved fluids during this time.",-1,19,TRUE,afternoon
glycoprepo,8,Bowelprep,"THIRD DOSE: Drink 1 litre of the Glycoprep Orange solution which you previously prepared. Drink approximately one 250ml  glass every 15-20 minutes until completed. Drink the mixture slowly but completely. If you become nauseated, reduce the rate of intake. Inaddition to Glycoprep please drink 2 glass of approved fluids during this time.",0,5,TRUE,afternoon
glycoprepo,9,Procedure,"Today is your procedure. Please do not consume any food FOOD and only clear fluids. Please cease all fluids 4 hours prior to procedure, or as indicated by your doctor.",0,8,TRUE,afternoon
